Rk,Team,Date,eFG%,,Opp,Result,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA
178,MIA,2022-04-03,.633,@,TOR,W 114-109,117.8,.278,.481,.643,.633,.177,112.6,.410,.470,.556,.494,.325
179,GSW,2021-11-21,.633,,TOR,W 119-104,123.9,.304,.570,.664,.633,.241,108.3,.202,.374,.482,.470,.111
180,HOU,2022-03-25,.633,@,POR,W 125-106,130.3,.277,.542,.671,.633,.241,110.5,.271,.235,.557,.524,.200
181,DAL,2021-12-13,.633,,CHO,W 120-96,144.4,.205,.494,.663,.633,.181,115.5,.279,.430,.497,.471,.174
182,DEN,2021-10-20,.633,@,PHO,W 110-98,111.5,.108,.470,.632,.633,.060,99.3,.195,.425,.519,.494,.138
183,DAL,2022-03-29,.632,,LAL,W 128-110,139.1,.264,.529,.659,.632,.207,119.5,.247,.494,.557,.517,.202
184,CHO,2021-12-10,.632,,SAC,W 124-123,126.3,.230,.402,.647,.632,.161,125.3,.168,.406,.567,.545,.129
185,CLE,2021-12-26,.632,,TOR,W 144-99,134.4,.113,.491,.647,.632,.094,92.4,.258,.404,.499,.466,.180
186,MIA,2022-04-08,.632,,ATL,W 113-109,118.6,.389,.361,.670,.632,.306,114.4,.216,.386,.566,.523,.193
187,UTA,2022-03-02,.632,@,HOU,W 132-127 (OT),122.1,.264,.462,.650,.632,.187,117.5,.349,.593,.640,.622,.233
188,SAS,2021-12-26,.632,,DET,W 144-109,129.0,.407,.297,.671,.632,.319,97.7,.347,.327,.482,.429,.255
189,CLE,2021-12-08,.631,,CHI,W 115-92,120.1,.200,.350,.661,.631,.175,96.0,.250,.310,.493,.458,.179
190,ATL,2022-03-03,.631,,CHI,W 130-124,138.4,.333,.476,.675,.631,.286,132.1,.080,.295,.681,.670,.068
191,PHO,2022-01-28,.631,,MIN,W 134-124,134.5,.440,.464,.668,.631,.333,124.5,.300,.433,.609,.567,.244
192,LAL,2021-10-24,.631,,MEM,W 121-118,120.4,.262,.357,.646,.631,.179,117.4,.180,.350,.547,.515,.150
193,MIN,2022-03-19,.630,,MIL,W 138-119,133.7,.283,.511,.667,.630,.239,115.3,.175,.536,.569,.541,.144
194,SAS,2021-11-10,.630,,SAC,W 136-117,135.9,.337,.348,.644,.630,.217,116.9,.176,.396,.597,.571,.143
195,MIL,2022-03-08,.630,@,OKC,W 142-115,138.8,.200,.400,.653,.630,.160,112.4,.250,.464,.617,.595,.179
196,DAL,2022-03-27,.630,,UTA,W 114-100,130.4,.312,.442,.651,.630,.221,114.4,.112,.382,.535,.528,.067
197,BOS,2022-02-16,.630,,DET,L 111-112,116.8,.234,.416,.654,.630,.182,117.9,.140,.323,.567,.548,.108
198,MIA,2021-12-03,.630,@,IND,W 113-104,125.5,.160,.420,.652,.630,.136,115.5,.413,.450,.550,.494,.313
199,DAL,2022-03-03,.629,,GSW,W 122-113,134.2,.235,.435,.650,.629,.176,124.3,.160,.370,.652,.636,.123
200,MIL,2022-03-16,.629,@,SAC,W 135-126,126.5,.360,.393,.655,.629,.258,118.1,.223,.457,.610,.574,.191
201,POR,2022-01-03,.629,,ATL,W 136-131,138.9,.315,.461,.671,.629,.270,133.8,.273,.466,.665,.625,.239
202,CHO,2021-10-31,.629,,POR,W 125-113,131.5,.236,.472,.636,.629,.146,118.8,.113,.557,.555,.531,.103
203,CLE,2022-02-28,.628,,MIN,L 122-127,126.0,.459,.500,.686,.628,.392,131.2,.221,.488,.673,.651,.174
204,CLE,2021-11-03,.628,,POR,W 107-104,114.2,.243,.405,.653,.628,.189,111.0,.189,.411,.533,.517,.122
205,UTA,2022-03-29,.628,@,LAC,L 115-121,125.9,.372,.397,.634,.628,.218,132.5,.337,.434,.635,.584,.289
206,MIL,2022-02-26,.628,,BRK,L 123-126,121.6,.487,.487,.649,.628,.321,124.5,.359,.370,.591,.549,.272
